ds,yhat,yhat_lower,yhat_upper
2010-01-04,216.25204197638396,141.77072869852705,294.485227430699
2010-01-05,217.59649982900564,137.77698210392495,297.8932483267116
2010-01-06,217.74042287110606,142.13625287662887,297.67216664836593
2010-01-07,218.77505328421807,137.55215500599007,300.4025033092019
2010-01-08,218.7942778933076,144.91110464129844,297.74597576147397
2010-01-11,219.98730400503976,142.85552978440631,295.9461023513265
2010-01-12,220.79793114699353,147.63212801276768,294.08701762998135
2010-01-13,220.30115934385148,153.35119100229844,299.5353267317338
2010-01-14,220.6054725545464,143.9220222083128,303.35447636794316
2010-01-15,219.82417417765765,142.47415509669227,302.9377292391145
2010-01-18,218.40993135048365,138.3359244007699,299.3677251578785
2010-01-19,218.3578164838048,137.60297651193846,299.7211362467298
2010-01-20,217.0383850788848,140.50661941633288,298.0348258343606
2010-01-21,216.58071131210218,135.77288661137376,289.4101850955537
2010-01-22,215.11688887532318,137.82287167598474,290.0919170130716
2010-01-25,212.28310704065711,135.03292026983632,292.6169401355442
2010-01-27,210.58721727454605,134.89580920803118,292.77057604187115
2010-01-28,210.1659002382785,132.32099458842998,289.0996143575606
2010-01-29,208.86790528592044,129.93560847566408,285.4976511165516
2010-02-01,207.22843197942746,129.6459969834261,286.95903175492543
2010-02-02,207.5371402137288,128.07811081859265,285.5250514859804
2010-02-03,206.77926386033235,131.64942743528476,283.7372714602085
2010-02-04,207.06558617869763,125.18826717593879,287.1137530564745
2010-02-05,206.50530228863067,128.29301799082234,284.35261515833594
2010-02-08,207.0558735015576,127.80351735040524,284.2181989184622
2010-02-09,208.02124818288954,127.67068021332082,281.2943854669456
2010-02-10,207.8534568054646,134.557569483833,290.5712023821212
2010-02-11,208.64808009039623,134.53131211060585,281.65128642195316
2010-02-15,209.63925253923102,135.08491783893257,295.30998066473126
2010-02-16,210.5687772560029,131.54527828650302,290.61098432493543
2010-02-17,210.25035852819653,133.66867728067024,288.6468148090971
2010-02-18,210.784765222381,136.47464383075376,295.63625071056435
2010-02-19,210.2763955478269,124.45792253513716,283.4032983527664
2010-02-22,209.83600823506382,127.53538842890981,284.86846102779145
2010-02-23,210.1237325979798,132.53076674898006,292.4773306608661
2010-02-24,209.13321608621558,124.97845087649237,292.5258983108465
2010-02-25,208.9827995613441,127.86557516188634,279.6543664443794
2010-02-26,207.79446597099945,128.8444461664094,286.76718763883497
2010-03-02,205.2970091657925,124.04535090206267,283.02350303285573
2010-03-03,203.88363778203916,127.34011921129786,283.48338353412834
2010-03-04,203.39683018943575,130.56011920833845,282.91547354765083
2010-03-05,201.96508917359998,124.5174453936489,279.7556444540182
2010-03-08,199.53493800252198,123.01333639192336,277.5760342580174
2010-03-09,199.4651822743929,123.16289081813929,281.42395176081544
2010-03-10,198.2826248111095,119.26965959668915,280.0190085901357
2010-03-11,198.10677642009378,119.65312546096283,268.7509544747952
2010-03-12,197.05664602752574,123.188311411447,270.35492937046837
2010-03-15,196.08177888173654,115.7292301128083,275.3414161221956
2010-03-16,196.55922100415768,118.0362640125649,276.36804497120806
2010-03-17,195.93378846807272,120.05337053806356,275.174727927649
2010-03-18,196.31284753235855,116.72084237399658,270.2042097403823
2010-03-19,195.80410409955323,120.15153670820521,273.2294286550955
2010-03-22,196.2779045593924,113.3575403724725,273.3065651414727
