Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2010-01-04,218.59307861328125,221.76374994808987,207.68884283111072,221.76374994808987,76646086
2010-01-05,217.61749267578125,233.71474007258507,216.54028253029978,233.71474007258507,21392825
2010-01-06,221.13369750976562,222.45481176562942,217.60733879271046,219.4873823501729,23691760
2010-01-07,224.8023223876953,226.62139340272083,219.1012188293531,221.13370761104912,26197920
2010-01-08,224.212890625,226.37748661240903,222.75966905192595,225.1986418470306,15110149
2010-01-11,219.8125762939453,233.6740930860171,213.4102744375723,230.6253533654892,188649642
2010-01-12,220.39181518554688,231.15379459204306,218.89794530360876,222.55641101778284,32790509
2010-01-13,221.25564575195312,221.94668241821145,217.19068188685603,221.1337004992421,15360176
2010-01-14,227.983154296875,228.6132047468954,220.72719493661396,220.72719493661396,24545629
2010-01-15,225.75759887695312,231.4790269364477,224.59909174474717,228.81647395883226,18766617
2010-01-18,223.47105407714844,226.91610246583943,221.93652203173963,224.9954104505233,14172193
2010-01-19,220.52398681640625,224.8023418134842,220.04634071819348,223.57269990105345,13064666
2010-01-20,218.9995880126953,222.9832549930597,217.88172940830188,222.556433046322,19331024
2010-01-21,214.23342895507812,218.89797056544754,213.46109545060816,218.49147282056526,18611321
2010-01-22,214.19276428222656,217.67847437871268,209.2436841233198,211.58103580333906,39869565
2010-01-25,211.79446411132812,214.3045718395903,210.70709176050235,213.3391447466,13393277
2010-01-27,208.8473663330078,213.4102869421013,207.31284784645905,210.15831851992124,24843485
2010-01-28,210.7985382080078,212.68874386266097,208.3290790454105,211.37779171595196,33223459
2010-01-29,212.637939453125,213.77612229329202,206.9266739081459,209.93473824827493,23333042
2010-02-01,212.47532653808594,214.42650469741335,210.47332429325215,210.86965990078332,12132865
2010-02-02,208.7965545654297,214.70090007225627,208.146152744334,213.81676984838998,17248998
2010-02-03,210.14813232421875,213.08506160175415,209.5688652973538,209.5688652973538,15052266
2010-02-04,207.1400604248047,210.97128203834302,206.09333661455236,210.97128203834302,11974603
2010-02-05,199.52845764160156,204.82306367637233,198.1667084142085,198.1667084142085,29882876
2010-02-08,202.09951782226562,204.1319927855134,198.16667524081524,200.19915020406302,25894932
2010-02-09,201.8759307861328,202.84135771603584,199.73167276116453,201.9775518171624,14292031
2010-02-10,200.219482421875,203.22754657324077,199.58940484671183,203.22754657324077,18261247
2010-02-11,206.32711791992188,207.2722208740192,200.9105528348456,201.06299798611445,23450102
2010-02-15,205.28036499023438,208.7355891696493,204.79257039129575,208.7355891696493,13498617
2010-02-16,206.85552978515625,207.5160801158339,204.26411184756114,205.30067359557432,10068256
2010-02-17,209.8636016845703,210.93064978385672,207.72950548599746,208.32908321437446,15630122
2010-02-18,202.80072021484375,211.04243049086696,202.23162884289843,209.34530491111906,19834114
2010-02-19,199.8333282470703,202.23165283068798,198.60367285691459,202.23165283068798,17754534
2010-02-22,198.76626586914062,203.2478758973911,197.15043704263255,202.29261097428957,12692045
2010-02-23,198.23782348632812,199.79266612521053,197.15043763872018,197.963433106496,12976934
2010-02-24,198.93902587890625,200.3414369810632,196.46956668550627,197.1504412441155,12487589
2010-02-25,195.748046875,200.19918463378352,194.94522699563592,199.20327118781512,18954063
2010-02-26,198.96951293945312,202.23164341906428,196.3882705885718,196.94719989715313,22579233
2010-03-02,199.8333282470703,203.04464835422175,199.06098114295693,200.19917758941682,18210596
2010-03-03,208.2884521484375,208.93884045309886,200.8089255907948,200.8089255907948,26623966
2010-03-04,206.09335327148438,211.37779683561857,204.87387360075638,211.37779683561857,20781218
2010-03-05,205.2397003173828,208.53231699135682,204.28443540479657,207.71933510255045,11774505
2010-03-08,204.08119201660156,208.73557130151778,203.65437008312156,207.55672654058208,11941298
2010-03-09,201.2865447998047,205.64620977928894,200.8190744208543,204.56899955705282,17459521
2010-03-10,205.0262908935547,207.08925222624092,201.07312399203184,202.23163095532317,24807175
2010-03-11,206.59130859375,207.3128451410097,204.67061659260634,205.28035642394457,14583772
2010-03-12,207.63800048828125,209.95502777142804,206.09332015537026,206.29657577953992,22333253
2010-03-15,208.948974609375,209.74164584931262,205.9104241355507,207.71933290139904,18131701
2010-03-16,217.05859375,217.84110299264432,209.14209664618005,209.75183653128937,33998717
2010-03-17,217.4142608642578,220.01582741596098,216.62158958974422,218.45082264319862,21599472
2010-03-18,218.88783264160156,219.83293559340078,216.27610367599132,218.28825484625696,15292424
2010-03-19,221.95684814453125,222.86128896250688,217.50571094440377,219.26380919579285,19737747
2010-03-22,218.27806091308594,223.36941072970242,215.8492502016269,215.8492502016269,20468483
2010-03-23,221.82473754882812,222.34301844130812,218.88780796892047,219.09105005712337,20005544
2010-03-25,221.83489990234375,222.96293419582443,218.97926715451058,222.75967853983067,22967888
2010-03-26,223.66412353515625,225.80839531548045,222.5869133767787,222.96292479208017,18075516
2010-03-29,222.21092224121094,225.5949981526424,221.7434518473099,224.3246943349043,20249784
2010-03-30,221.1641845703125,224.73117814888647,220.11746069336255,222.75967564646135,18938795
2010-03-31,218.33901977539062,222.55641480826768,217.73944210526378,222.12959289650718,21647708
2010-04-01,221.95684814453125,223.26778668755813,218.89795988649053,219.10120196523516,12519976
2010-04-05,228.8367919921875,229.59899056711905,222.86131146305416,222.86131146305416,19912935
2010-04-06,228.2880401611328,230.27986702020482,227.67828672330643,229.26362938057883,12481837
2010-04-07,229.60914611816406,233.67412390325433,228.2677210869172,228.65388108731517,20218574
2010-04-08,224.9039306640625,230.99120705642716,223.87753107247775,230.2798326742515,14723428
2010-04-09,228.59288024902344,229.87335962575452,225.23929094958652,225.23929094958652,16826518
2010-04-12,229.13148498535156,232.71882980697578,228.17622007381053,232.71882980697578,12699784
2010-04-13,227.82054138183594,230.48309413589436,225.86937663736532,229.26361447465487,13971281
2010-04-15,221.6824493408203,230.66599309583495,220.9405886464889,228.65384232253044,24286918
2010-04-16,220.3715057373047,222.55642592238522,217.70896666700688,220.74751715067603,18193722
2010-04-19,215.80859375,219.4670460533009,213.6135115139701,219.4670460533009,16389189
2010-04-20,216.0931396484375,219.45689105345485,214.29439296586693,217.44474018637152,16748550
2010-04-21,214.2435760498047,218.22724281650906,213.03425857187713,217.47522000602845,19187549
2010-04-22,218.64390563964844,222.33284431398573,213.42043501211043,213.51189394685596,25598349
2010-04-23,221.17433166503906,222.7596605293131,219.50769240440403,219.50769240440403,23235165
2010-04-26,217.7292938232422,223.12552033205765,216.15411342084116,219.5077027396491,16652152
2010-04-27,215.69679260253906,217.068717275877,214.42650253162577,216.0524797921218,13970196
2010-04-28,206.75392150878906,214.21310985390085,205.68685981519405,214.21310985390085,40110291
2010-04-29,210.37171936035156,211.35747061905894,207.14007519876242,208.12582645746983,23447044
2010-04-30,210.07701110839844,212.8411712389188,209.34531248402752,211.37778755773905,15821019
2010-05-03,208.07504272460938,209.87378969937083,206.9266976481871,208.53235104755612,12535244
2010-05-04,207.54656982421875,211.17454956919443,205.99172717675592,208.16647174884858,17348783
2010-05-05,207.44496154785156,208.03437719611026,203.91861619557577,205.28036537920553,14976570
2010-05-06,204.84341430664062,207.9835864053887,204.0609050246223,207.27222543156117,23863448
2010-05-07,209.91439819335938,215.44274543985043,198.36992272075224,198.36992272075224,72063684
2010-05-10,221.0086212158203,221.5409732502324,212.9414151535592,215.19368427447617,38050844
2010-05-11,218.63351440429688,222.9742427488364,217.72236943954084,222.9742427488364,26325489
2010-05-12,221.7355194091797,223.06639280674779,217.8657192093948,220.32273412450212,15294301
2010-05-13,219.45254516601562,223.87517215339668,217.44598406073484,217.44598406073484,11947698
2010-05-14,213.6887969970703,219.28875201025858,211.91769325284824,218.61306433460118,18161695
2010-05-17,208.13998413085938,211.85622455326487,206.59411449642363,211.85622455326487,20611809
2010-05-18,208.9692840576172,211.6003329226411,206.34845880297385,208.84643671791062,15445191
2010-05-19,204.47496032714844,208.38570930480714,203.74808635770535,208.2321364889394,26097480
2010-05-20,204.7411346435547,207.4131458922038,203.47167131833777,204.95613112398257,18577281
2010-05-21,203.84024047851562,204.7206736763766,199.85783020113797,202.6834007890944,19167407
2010-05-24,209.38900756835938,214.7739658285237,208.1195441668446,208.43691343420505,24726303
2010-05-25,201.81320190429688,209.87017150581855,201.21942615211037,209.87017150581855,25245934
2010-05-26,206.39964294433594,206.79889676759072,202.9086219668183,203.70715694918238,13726569
2010-05-27,209.30711364746094,210.42300424294828,205.07899498264422,207.0036578452797,27405100
2010-05-28,212.2555694580078,212.73673525947157,207.7203179881661,210.8837330096747,17535288
2010-05-31,214.08807373046875,214.68184954078697,210.63800159419054,210.92465905499674,16548811
2010-06-01,206.9114990234375,213.9651738535125,205.590849356662,213.61710645396266,19466130
2010-06-02,207.013916015625,209.0511891375952,205.43733410058596,207.8226883643979,19728249
2010-06-03,211.0577392578125,212.53194830841485,208.82595795966722,208.82595795966722,17106958
2010-06-04,211.13966369628906,212.12246978842137,209.34808525011468,211.09870091351542,14088022
2010-06-07,206.3382110595703,207.8226710107822,204.7513919983894,207.8226710107822,13503377
2010-06-08,204.01431274414062,207.3517612803061,203.74812982965577,206.73749722162688,15226706
2010-06-09,206.19488525390625,207.82266706325422,204.75138810919944,204.79233721958028,15242486
2010-06-10,207.89430236816406,208.3242816420637,206.21533437789628,206.79887279678664,13962908
2010-06-11,214.25184631347656,215.16299131804038,209.05115916060993,209.87016867058506,23307069
2010-06-14,217.7530975341797,219.08398461216817,214.8046796083736,215.9922448014475,15892958
2010-06-15,218.2854461669922,219.06350658003294,215.00943541338077,218.10117517502692,18992836
2010-06-16,216.61672973632812,219.62657129013508,216.03319125841486,219.08398192169454,11833071
2010-06-17,219.3706512451172,220.5172537083495,216.68840242172266,217.71215754987892,21047804
2010-06-18,215.879638671875,223.13808769333374,215.10159185101293,221.1724619147016,38277934
2010-06-21,218.19334411621094,219.43209586697074,217.24124984259703,217.24124984259703,11792906
